Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,70.589996,71.639999,70.500000,71.099998,67.760284,517600
2016-08-30,71.050003,71.339996,70.379997,71.339996,67.989006,508100
2016-08-31,71.110001,71.470001,71.050003,71.209999,67.865120,578000
2016-09-01,71.230003,71.739998,71.080002,71.639999,68.274918,575200
2016-09-02,71.879997,71.919998,71.269997,71.669998,68.303505,460900
2016-09-06,71.830002,71.870003,71.110001,71.500000,68.141502,430600
2016-09-07,70.650002,70.949997,70.050003,70.900002,67.569672,527800
2016-09-08,70.750000,70.980003,70.199997,70.209999,66.912071,565900
2016-09-09,69.779999,70.019997,68.970001,68.980003,65.739868,884700
2016-09-12,68.709999,69.709999,68.220001,69.480003,66.216393,956300
2016-09-13,69.050003,69.500000,68.570000,69.059998,65.816101,650100
2016-09-14,68.830002,69.250000,68.620003,68.690002,65.768234,768000
2016-09-15,68.680000,69.639999,68.680000,69.519997,66.562927,603900
2016-09-16,69.110001,69.620003,68.650002,69.470001,66.515053,959300
2016-09-19,69.680000,70.220001,69.599998,69.800003,66.831017,808000
2016-09-20,70.099998,70.449997,69.360001,69.620003,66.658684,706400
2016-09-21,69.930000,70.720001,69.529999,70.669998,67.664001,473200
2016-09-22,71.000000,71.010002,70.379997,70.440002,67.443802,501300
2016-09-23,69.790001,70.559998,68.930000,69.459999,66.505486,1030200
2016-09-26,69.180000,70.000000,68.790001,68.839996,65.911842,687800
2016-09-27,68.739998,69.000000,68.519997,68.550003,65.634193,806700
2016-09-28,68.559998,68.559998,68.050003,68.209999,65.308647,622100
2016-09-29,68.309998,68.680000,67.000000,67.480003,64.609718,889600
2016-09-30,67.800003,68.080002,67.360001,67.540001,64.667160,905300
2016-10-03,67.279999,67.690002,66.769997,67.050003,64.197998,995200
2016-10-04,67.209999,67.470001,66.589996,66.790001,63.949055,681700
2016-10-05,66.800003,67.129997,66.610001,66.870003,64.025650,822300
2016-10-06,66.879997,67.400002,66.510002,67.349998,64.485229,605900
2016-10-07,67.470001,67.470001,66.470001,67.029999,64.178848,488600
2016-10-10,67.129997,67.440002,66.320000,66.419998,63.594784,932600
2016-10-11,66.160004,66.860001,65.540001,65.940002,63.135212,949600
2016-10-12,65.739998,66.650002,65.709999,66.459999,63.633080,828700
2016-10-13,66.139999,67.010002,65.970001,66.839996,63.996922,1269200
2016-10-14,67.410004,67.419998,66.959999,67.239998,64.379906,603900
2016-10-17,67.459999,67.769997,66.250000,66.379997,63.556488,547700
2016-10-18,66.790001,67.180000,66.110001,66.209999,63.393719,394200
2016-10-19,66.160004,66.470001,65.849998,66.400002,63.575642,569600
2016-10-20,66.529999,66.580002,65.629997,65.730003,62.934147,557100
2016-10-21,65.410004,66.309998,65.220001,66.180000,63.364998,620300
2016-10-24,66.260002,66.769997,66.199997,66.300003,63.479904,499000
2016-10-25,66.400002,66.809998,66.059998,66.360001,63.537342,1008900
2016-10-26,65.220001,66.610001,64.279999,64.690002,61.938374,1275300
2016-10-27,64.550003,64.550003,63.320000,63.950001,61.229858,1153100
2016-10-28,64.040001,64.589996,63.720001,64.089996,61.363895,493900
2016-10-31,64.129997,64.269997,63.830002,63.970001,61.249008,677200
2016-11-01,63.799999,64.199997,63.299999,63.520000,60.818142,971600
2016-11-02,63.650002,64.050003,63.529999,63.759998,61.047935,699300
2016-11-03,63.799999,64.550003,63.799999,64.160004,61.430923,861700
2016-11-04,64.339996,65.419998,64.029999,64.680000,61.928810,1268500
2016-11-07,65.330002,65.570000,65.040001,65.459999,62.675621,684500
2016-11-08,65.440002,65.570000,64.190002,65.379997,62.599026,666500
2016-11-09,65.209999,67.139999,64.690002,66.930000,64.083099,1034000
2016-11-10,67.489998,68.290001,66.889999,67.099998,64.245865,1211200
2016-11-11,66.980003,67.320000,65.870003,66.440002,63.613949,889400
2016-11-14,66.620003,66.660004,64.570000,64.730003,61.976673,1413300
2016-11-15,64.820000,64.910004,63.599998,64.480003,61.737316,1164900
2016-11-16,64.419998,64.949997,64.150002,64.709999,61.957516,1256600
2016-11-17,64.690002,65.139999,64.570000,64.860001,62.101151,554600
2016-11-18,64.930000,65.940002,64.709999,65.849998,63.049038,957800
2016-11-21,66.110001,66.260002,65.650002,65.970001,63.163937,805100
2016-11-22,66.150002,66.209999,65.309998,65.580002,62.790520,620000
2016-11-23,65.570000,65.620003,64.790001,65.339996,62.560726,499000
2016-11-25,65.110001,65.690002,65.110001,65.690002,62.895840,217900
2016-11-28,65.540001,65.540001,64.470001,64.580002,61.833061,837000
2016-11-29,64.879997,65.470001,64.419998,64.970001,62.206467,1207600
2016-11-30,64.949997,65.059998,63.950001,64.089996,61.363895,1439800
2016-12-01,63.970001,64.320000,63.419998,63.549999,60.846870,1039100
2016-12-02,63.700001,64.500000,63.360001,63.880001,61.162830,951800
2016-12-05,64.669998,65.059998,64.309998,64.860001,62.101151,1188900
2016-12-06,65.139999,66.589996,64.750000,66.519997,63.690533,1559400
2016-12-07,66.820000,68.080002,66.459999,67.610001,64.734177,1481900
2016-12-08,67.870003,68.129997,67.190002,67.769997,64.887367,747000
2016-12-09,68.000000,68.680000,67.110001,68.620003,65.701218,953200
2016-12-12,68.230003,69.070000,68.160004,68.790001,65.863991,796000
2016-12-13,69.000000,69.730003,68.860001,69.260002,66.314003,1032400
2016-12-14,68.949997,69.250000,67.940002,68.260002,65.659889,1083200
2016-12-15,68.410004,68.900002,68.019997,68.610001,65.996559,731700
2016-12-16,68.589996,69.080002,67.830002,68.059998,65.467506,1274000
2016-12-19,67.919998,68.559998,67.370003,67.699997,65.121216,527900
2016-12-20,67.629997,68.110001,67.410004,68.010002,65.419418,604600
2016-12-21,68.250000,68.250000,67.430000,67.489998,64.919220,387400
2016-12-22,67.480003,67.500000,66.980003,67.209999,64.649887,365900
2016-12-23,67.129997,67.379997,66.930000,67.169998,64.611412,372100
2016-12-27,67.410004,67.570000,67.070000,67.529999,64.957703,261500
2016-12-28,67.580002,67.620003,67.150002,67.339996,64.774925,853200
2016-12-29,67.339996,67.470001,66.900002,67.010002,64.457512,483700
2016-12-30,67.300003,67.440002,66.970001,67.120003,64.563316,548700
2017-01-03,67.470001,67.589996,66.260002,66.680000,64.140083,614600
2017-01-04,66.650002,67.800003,66.639999,67.720001,65.140450,612500
2017-01-05,67.489998,68.150002,67.239998,67.639999,65.063507,626300
2017-01-06,67.620003,68.809998,67.519997,68.459999,65.852264,615200
2017-01-09,68.370003,68.449997,67.330002,67.769997,65.188553,639900
2017-01-10,67.620003,67.870003,67.169998,67.199997,64.640259,833900
2017-01-11,67.190002,67.800003,66.889999,67.720001,65.140450,484100
2017-01-12,67.440002,67.550003,66.099998,67.400002,64.832657,502600
